video_id,segment_total,vid_done,vid_pct,aud_done,aud_pct,both_done,both_pct
-dX6vIpp55M,11,0,0.0,0,0.0,0,0.0
-dvPBcRDHZ0,395,0,0.0,0,0.0,0,0.0
-elNcbcFVJs,145,145,100.0,0,0.0,0,0.0
-fcud5SNqDU,485,0,0.0,0,0.0,0,0.0
-fs9eAOAUSY,146,146,100.0,0,0.0,0,0.0
-ftMyrUEh1M,71,71,100.0,0,0.0,0,0.0
-gnWIzNQaZE,183,92,50.27,0,0.0,0,0.0
-hI1dSpHs8Q,192,192,100.0,0,0.0,0,0.0
-hSv4_VFrcU,354,354,100.0,0,0.0,0,0.0
-hbEafAUk8o,110,110,100.0,0,0.0,0,0.0
-jWrQn955es,149,149,100.0,0,0.0,0,0.0
-jg39vuiURs,167,167,100.0,0,0.0,0,0.0
-kB1Up5k41Y,132,0,0.0,0,0.0,0,0.0
-kH-xCcKEBM,8,0,0.0,0,0.0,0,0.0
-kR7GHh9sDU,306,306,100.0,0,0.0,0,0.0
-lLVXpd7Uiw,158,158,100.0,0,0.0,0,0.0
-m7_s7J4OPw,195,195,100.0,0,0.0,0,0.0
-n-gO1EzjHI,92,0,0.0,0,0.0,0,0.0
-nYC8vqheQU,252,0,0.0,0,0.0,0,0.0
-ndye6C4cf0,134,134,100.0,0,0.0,0,0.0
-o0bZ3QigVI,417,0,0.0,0,0.0,0,0.0
-oGQ4WRRMTY,103,103,100.0,0,0.0,0,0.0
-oRh6gElnhM,178,178,100.0,0,0.0,0,0.0
-oebw2Qf7Lc,73,73,100.0,0,0.0,0,0.0
-q5YA5zAo-Q,26,26,100.0,0,0.0,0,0.0
-r-BBXIDDuc,94,94,100.0,0,0.0,0,0.0
-r5REjbso6A,87,87,100.0,0,0.0,0,0.0
-rMDALy5i9s,320,320,100.0,0,0.0,0,0.0
-rTvbaSrxKc,239,239,100.0,0,0.0,0,0.0
-rgzYO2kLgw,114,114,100.0,0,0.0,0,0.0
-sUb3YtRMsA,169,0,0.0,0,0.0,0,0.0
-tLJjoiZ1Fc,98,0,0.0,0,0.0,0,0.0
-tR1h91TSKc,279,279,100.0,0,0.0,0,0.0
-tgNvc6K7CQ,66,0,0.0,0,0.0,0,0.0
-uBI4APF9M4,348,0,0.0,0,0.0,0,0.0
-w88DcCyLqo,545,545,100.0,0,0.0,0,0.0
-xGeoN4noLg,274,274,100.0,0,0.0,0,0.0
-xsJ6-NDZKY,465,0,0.0,0,0.0,0,0.0
-yULF4H6ZVc,100,100,100.0,0,0.0,0,0.0
-zkq6CAbBnI,3,3,100.0,0,0.0,0,0.0
0-VJ1G9wsJQ,123,0,0.0,0,0.0,0,0.0
00JnzwC2zdc,227,0,0.0,0,0.0,0,0.0
00kHYvlyGU8,112,0,0.0,0,0.0,0,0.0
0104VRD5Qhk,414,414,100.0,0,0.0,0,0.0
01TVhX7ilAw,144,72,50.0,0,0.0,0,0.0
01maU3WmSSQ,272,0,0.0,0,0.0,0,0.0
01nSKEB-kAg,120,120,100.0,0,0.0,0,0.0
020biWSQh8M,130,130,100.0,0,0.0,0,0.0
03YgUZQx3dc,129,129,100.0,0,0.0,0,0.0
042QcCeu2a8,48,0,0.0,0,0.0,0,0.0
04Vdesa_VlI,35,35,100.0,0,0.0,0,0.0
04_x63lui6o,102,0,0.0,0,0.0,0,0.0
05pTayi2HZI,180,0,0.0,0,0.0,0,0.0
066Ep3LJN0c,110,0,0.0,0,0.0,0,0.0
06Ib4CZ58Xg,79,0,0.0,0,0.0,0,0.0
06WbuG67SSc,114,0,0.0,0,0.0,0,0.0
06ilbJ0VuMk,86,0,0.0,0,0.0,0,0.0
071AJxJ9pHM,35,35,100.0,0,0.0,0,0.0
074ihDk8ii8,136,0,0.0,0,0.0,0,0.0
0797LSOQa6E,110,0,0.0,0,0.0,0,0.0
07QQrAEOOSg,218,218,100.0,0,0.0,0,0.0
083lFeTFevA,131,131,100.0,0,0.0,0,0.0
08EBJ_kTwMw,22,0,0.0,0,0.0,0,0.0
08LomM6IhI0,110,0,0.0,0,0.0,0,0.0
08Y1tYmmVEQ,91,91,100.0,0,0.0,0,0.0
09QyRx79tSg,424,0,0.0,0,0.0,0,0.0
0AMC7Xr3sZ4,214,214,100.0,0,0.0,0,0.0
0AO2XiTVeBo,107,107,100.0,0,0.0,0,0.0
0AP2UdOepa4,232,232,100.0,0,0.0,0,0.0
0BB5DKnw6ao,11,11,100.0,0,0.0,0,0.0
0BR2LplNO7k,71,71,100.0,0,0.0,0,0.0
0D9vp8y66xY,203,0,0.0,0,0.0,0,0.0
0EXgciZoNXg,99,0,0.0,0,0.0,0,0.0
0EmEUqgrOMU,157,157,100.0,0,0.0,0,0.0
0Ewam7zfAtQ,92,92,100.0,0,0.0,0,0.0
0EzGb8JmjMY,68,0,0.0,0,0.0,0,0.0
0FVGeh08zFc,136,0,0.0,0,0.0,0,0.0
0F_bMtJEtFg,59,59,100.0,0,0.0,0,0.0
0G87FCjHzmo,188,0,0.0,0,0.0,0,0.0
0GP5Z7QO1Jc,324,162,50.0,0,0.0,0,0.0
0HXJVYeljOk,162,162,100.0,0,0.0,0,0.0
0HZPyhnErFo,542,542,100.0,0,0.0,0,0.0
0LjRHRDOjTk,79,0,0.0,0,0.0,0,0.0
0LtiHuLHxLQ,196,0,0.0,0,0.0,0,0.0
0McLoZ0yntM,692,0,0.0,0,0.0,0,0.0
0NNop7gKpQg,160,0,0.0,0,0.0,0,0.0
0NeIA91Xh4U,445,0,0.0,0,0.0,0,0.0
0Nf6rdScOn8,132,0,0.0,0,0.0,0,0.0
0OIPGl6vZHU,92,0,0.0,0,0.0,0,0.0
0Odf4wJEoAU,418,208,49.76,0,0.0,0,0.0
0OkbJcdm-Yg,53,53,100.0,0,0.0,0,0.0
0PdtS98IlcM,572,0,0.0,0,0.0,0,0.0
0QhqG2-jhvw,232,113,48.71,0,0.0,0,0.0
0RATxRtjGdk,187,0,0.0,0,0.0,0,0.0
0RtuS0RZzDc,210,129,61.43,0,0.0,0,0.0
0SKg5O13010,377,377,100.0,0,0.0,0,0.0
0SOh4a9xoWw,109,0,0.0,0,0.0,0,0.0
0ScsKysPrDI,175,175,100.0,0,0.0,0,0.0
0T6mHuBQ4rw,108,0,0.0,0,0.0,0,0.0
0TTZdYckNac,132,0,0.0,0,0.0,0,0.0
0VNQjE0Jc2M,85,85,100.0,0,0.0,0,0.0
0VSV99PXbbw,130,0,0.0,0,0.0,0,0.0
0X4HyA9l_7U,110,110,100.0,0,0.0,0,0.0
0YAeiIsbvZE,322,0,0.0,0,0.0,0,0.0
0YPV_aQhB2I,3,0,0.0,0,0.0,0,0.0
0YQuA0GOGq8,69,0,0.0,0,0.0,0,0.0
0Z0jpDjqgeo,326,326,100.0,0,0.0,0,0.0
0ZG5Hk6V3R8,179,179,100.0,0,0.0,0,0.0
0_3P1hcr6QQ,76,0,0.0,0,0.0,0,0.0
0_d6GKg75cQ,92,0,0.0,0,0.0,0,0.0
0_oKJdU_yMQ,306,155,50.65,0,0.0,0,0.0
0aQNh-CejyE,201,201,100.0,0,0.0,0,0.0
0avh01FU19Y,127,127,100.0,0,0.0,0,0.0
0bNx9HloeXU,300,300,100.0,0,0.0,0,0.0
0c7i7SRthrA,150,150,100.0,0,0.0,0,0.0
0cF-J1M2eIs,401,401,100.0,0,0.0,0,0.0
0d-FdELGQHU,90,0,0.0,0,0.0,0,0.0
0e17qVjGQ_I,356,0,0.0,0,0.0,0,0.0
0eah_cm2VcQ,89,89,100.0,0,0.0,0,0.0
0en6s3i_WPA,495,495,100.0,0,0.0,0,0.0
0fnatggZ9Yo,106,0,0.0,0,0.0,0,0.0
0i4s9pkeWHw,409,0,0.0,0,0.0,0,0.0
0iBgz3jwZZU,98,98,100.0,0,0.0,0,0.0
0iFUfCpblvI,365,0,0.0,0,0.0,0,0.0
0iJQjFo09JM,102,102,100.0,0,0.0,0,0.0
0itVEp_TOW8,132,132,100.0,0,0.0,0,0.0
0jnQ6cnr-VA,257,0,0.0,0,0.0,0,0.0
0jtkUYluzJw,125,125,100.0,0,0.0,0,0.0
0kchbnqFf7E,116,0,0.0,0,0.0,0,0.0
0mUQZ6Zzw-U,19,19,100.0,0,0.0,0,0.0
0n01rxPSgeQ,140,0,0.0,0,0.0,0,0.0
0oSfzzvuB9E,93,0,0.0,0,0.0,0,0.0
0pQG9fSfc0g,151,151,100.0,0,0.0,0,0.0
0pyv7v5S6Uc,389,0,0.0,0,0.0,0,0.0
0qWhYM3MRtI,393,393,100.0,0,0.0,0,0.0
0rPkDgWIrWg,102,102,100.0,0,0.0,0,0.0
0tC9jW6bFC4,328,328,100.0,0,0.0,0,0.0
0ti98bgCNT0,100,0,0.0,0,0.0,0,0.0
0u1F30HensE,119,0,0.0,0,0.0,0,0.0
0u3g-vH6bXc,176,176,100.0,0,0.0,0,0.0
0vK9UHbj3cQ,65,65,100.0,0,0.0,0,0.0
0vYPM8mBB8o,24,24,100.0,0,0.0,0,0.0
0vdXf1iR3PA,350,350,100.0,0,0.0,0,0.0
0x-5g3fBFrg,16,0,0.0,0,0.0,0,0.0
0xHjvKLlTDg,132,0,0.0,0,0.0,0,0.0
0xh3cDS5H80,114,0,0.0,0,0.0,0,0.0
0y_XvXj58Bo,116,116,100.0,0,0.0,0,0.0
0zLIgpajw30,196,196,100.0,0,0.0,0,0.0
0zgAr9tJIVE,169,169,100.0,0,0.0,0,0.0
10zauifjLsA,209,209,100.0,0,0.0,0,0.0
11UvkqSsTGU,311,311,100.0,0,0.0,0,0.0
13eU_QPMZ8s,297,0,0.0,0,0.0,0,0.0
14966mT7J6g,401,199,49.63,0,0.0,0,0.0
14adQqflgMU,113,113,100.0,0,0.0,0,0.0
14i8lLJ0s5U,41,0,0.0,0,0.0,0,0.0
14qQ5B7BjpQ,208,0,0.0,0,0.0,0,0.0
14x01TgnCQg,251,251,100.0,0,0.0,0,0.0
15GVSo6JARE,65,65,100.0,0,0.0,0,0.0
16yLb_rAQkk,36,36,100.0,0,0.0,0,0.0
177Ja1aFlMY,128,0,0.0,0,0.0,0,0.0
18jotx-vWak,101,101,100.0,0,0.0,0,0.0
19gdBP1-PTg,43,43,100.0,0,0.0,0,0.0
1ADivsGwJ64,289,289,100.0,0,0.0,0,0.0
1AbG70fho5k,190,0,0.0,0,0.0,0,0.0
1AzeuSJ433Q,132,132,100.0,0,0.0,0,0.0
1B8Z4XXoYFY,81,0,0.0,0,0.0,0,0.0
1BEbiD_eS-E,388,0,0.0,0,0.0,0,0.0
1EZUAM9NI2Q,185,185,100.0,0,0.0,0,0.0
1EcmBMXodBE,109,109,100.0,0,0.0,0,0.0
1GSb8eoJCa4,276,0,0.0,0,0.0,0,0.0
1GifgmoL-ZA,85,85,100.0,0,0.0,0,0.0
1H8C0acqHbg,278,0,0.0,0,0.0,0,0.0
1HRWV4Y83uw,114,0,0.0,0,0.0,0,0.0
1Hg1So0QNxU,62,0,0.0,0,0.0,0,0.0
1Ho6Loq4zsk,70,0,0.0,0,0.0,0,0.0
1HwiNTiz1zA,44,44,100.0,0,0.0,0,0.0
1HzXHoj8Lvs,340,0,0.0,0,0.0,0,0.0
1I72hYDguEU,92,0,0.0,0,0.0,0,0.0
1IMoGo5fs1Y,207,0,0.0,0,0.0,0,0.0
1ISDNo2PoXk,20,0,0.0,0,0.0,0,0.0
1IkNvUaCwIU,186,0,0.0,0,0.0,0,0.0
1Ju4U9aYKoE,256,0,0.0,0,0.0,0,0.0
1K1RWOYH2YQ,83,83,100.0,0,0.0,0,0.0
1KQAEw4DJmA,280,0,0.0,0,0.0,0,0.0
1MJxT60j0zI,285,0,0.0,0,0.0,0,0.0
1MPWNO7KFvs,155,0,0.0,0,0.0,0,0.0
1MrTKuOOe54,44,0,0.0,0,0.0,0,0.0
1NB9gxvyeO4,132,0,0.0,0,0.0,0,0.0
1Nc0eofMazA,248,248,100.0,0,0.0,0,0.0
1O8zaIH7rMI,63,63,100.0,0,0.0,0,0.0
1PkO4tUcUOk,164,164,100.0,0,0.0,0,0.0
1PqWCyfJp84,296,296,100.0,0,0.0,0,0.0
1RzgU94sFw4,203,0,0.0,0,0.0,0,0.0
1SMPj0UXuFs,360,0,0.0,0,0.0,0,0.0
1SagbHjYomc,79,0,0.0,0,0.0,0,0.0
1SgdmBH56RA,93,93,100.0,0,0.0,0,0.0
1TBRUrRQm2I,253,0,0.0,0,0.0,0,0.0
1TEnjmoipXo,203,0,0.0,0,0.0,0,0.0
1UEfIWrlp1Y,266,266,100.0,0,0.0,0,0.0
1VVN0fU5rUc,241,0,0.0,0,0.0,0,0.0
1Vif2iLsN_o,183,183,100.0,0,0.0,0,0.0
1W2oErWZ3xA,78,0,0.0,0,0.0,0,0.0
1WuX_52ETEM,339,0,0.0,0,0.0,0,0.0
1WvS4RjnRdA,318,159,50.0,0,0.0,0,0.0
1Wwo5jE7RT8,358,0,0.0,0,0.0,0,0.0
1XSBnIU_5ps,323,0,0.0,0,0.0,0,0.0
1Xd0mD56UgQ,132,0,0.0,0,0.0,0,0.0
1Xrgy17zsrU,16,16,100.0,0,0.0,0,0.0
1ZTFLAXUDjY,110,0,0.0,0,0.0,0,0.0
1ZtA5iIYgrw,106,0,0.0,0,0.0,0,0.0
1__IO93Xmiw,378,0,0.0,0,0.0,0,0.0
1aAsjLeaQP0,370,0,0.0,0,0.0,0,0.0
1b0IfsiEKJg,72,72,100.0,0,0.0,0,0.0
1cbmBFquSWA,79,0,0.0,0,0.0,0,0.0
1dOmwcm8VGU,358,358,100.0,0,0.0,0,0.0
1fWAzA_Lp_g,199,199,100.0,0,0.0,0,0.0
1fnIq_6rkwM,268,0,0.0,0,0.0,0,0.0
1fsKvW8fcDw,297,0,0.0,0,0.0,0,0.0
1gOkjr5tzK8,108,0,0.0,0,0.0,0,0.0
1h1iSrtI40k,46,0,0.0,0,0.0,0,0.0
1hNju_BdoQ4,75,75,100.0,0,0.0,0,0.0
1i2hqEUaoN4,174,0,0.0,0,0.0,0,0.0
1i7fiaevKE8,364,197,54.12,0,0.0,0,0.0
1iUEUe4ecAc,356,356,100.0,0,0.0,0,0.0
1ixwjU-92Iw,247,247,100.0,0,0.0,0,0.0
1j1uaRZSgL4,98,0,0.0,0,0.0,0,0.0
1k1lOINq51c,236,0,0.0,0,0.0,0,0.0
1kJ4HVEMAbM,145,145,100.0,0,0.0,0,0.0
1kVGb9eOeOk,750,367,48.93,0,0.0,0,0.0
1kVMsaCTgBY,198,198,100.0,0,0.0,0,0.0
1km_uxAUD9k,73,73,100.0,0,0.0,0,0.0
